congregation_name,scity,scounty,sadd,data_completeness,missing_land_value,missing_acreage,missing_wetland,missing_flood,missing_qct,missing_zoning,lat,lon,missing_fields
St Andrews Church,MOUNT JACKSON,SHENANDOAH,"5904 MAIN ST, MOUNT JACKSON 22842",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,38.747601,-78.641317,wetland zoning
Good Shepherd-of-the-Hills,FREE UNION,ALBEMARLE,"7420 MISSION HOME RD, FREE UNION 22940",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.239992,-78.61708,wetland
St John the Baptist Church,CHARLOTTESVILLE,ALBEMARLE,"4712 DICK WOODS RD, CHARLOTTESVILLE 22903",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.017806,-78.65767600000001,wetland
Holy Cross Church,AFTON,ALBEMARLE,"2523 CRAIGS STORE RD, AFTON 22920",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.965883,-78.769216,wetland
Meade Memorial Church,ALEXANDRIA,ALEXANDRIA,"322 NORTH ALFRED ST, ALEXANDRIA 22314",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.80848,-77.048771,wetland
St Johns Episcopal Church,ARLINGTON,ARLINGTON,"5TH ST SOUTH, ARLINGTON 22204",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.862425,-77.12766,wetland
St Peters Church,PORT ROYAL,CAROLINE,"823 WATER ST, PORT ROYAL 22535",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.171476,-77.188801,wetland
St Peters Church,PORT ROYAL,CAROLINE,"823 WATER ST, PORT ROYAL 22535",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.171133000000005,-77.189154,wetland
St Asaphs Church,BOWLING GREEN,CAROLINE,"DORSEY LANE LN, BOWLING GREEN 22427",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.048035,-77.347224,wetland
St Asaphs Church,BOWLING GREEN,CAROLINE,"130 SOUTH MAIN ST, BOWLING GREEN 22427",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.047798,-77.346472,wetland
St Asaphs Church,BOWLING GREEN,CAROLINE,"130 SOUTH MAIN ST, BOWLING GREEN 22427",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.04792,-77.346524,wetland
Church of the Good Shepherd,BLUEMONT,CLARKE,BLUEMONT 20135,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,39.116982,-77.85874,wetland
Church of the Good Shepherd,BLUEMONT,CLARKE,"27 GOOD SHEPHERD RD, BLUEMONT 20135",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,39.116845,-77.85932000000001,wetland
Meade Memorial Church,WHITE POST,CLARKE,WHITE POST 22663,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,39.058291,-78.10436399999999,wetland
Little Fork Episcopal Church,RIXEYVILLE,CULPEPER,"16471 OAK SHADE RD, RIXEYVILLE 22737",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38.601057,-77.953831,land_value
Vauters Church,LORETTO,ESSEX,"3663 TIDEWATER TRL, LORETTO 22509",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.087384,-77.068281,wetland
Vauters Church,LORETTO,ESSEX,"3661 TIDEWATER TRL, LORETTO 22509",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.087171,-77.068851,wetland
Holy Cross Korean Episcopal Church,FAIRFAX,FAIRFAX-CITY,"10490 MAIN ST, FAIRFAX 22030",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.847148999999995,-77.308304,wetland
Holy Cross Korean Episcopal Church,FAIRFAX,FAIRFAX-CITY,"10520 MAIN ST, FAIRFAX 22030",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.847782,-77.308781,wetland
Holy Cross Korean Episcopal Church,FAIRFAX,FAIRFAX-CITY,"1 TRURO LN, FAIRFAX 22030",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.848510000000005,-77.307479,wetland
All Saints Sharon Chapel,ALEXANDRIA,FAIRFAX,"3421 FRANCONIA RD, ALEXANDRIA 22310",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.791945,-77.090651,wetland
All Saints Sharon Chapel,ALEXANDRIA,FAIRFAX,"3421 FRANCONIA RD, ALEXANDRIA 22310",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.791273,-77.091599,wetland
St Patricks Anglo Vietnamese Church,FALLS CHURCH,FAIRFAX,"3241 BRUSH DR, FALLS CHURCH 22042",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.858129,-77.189364,wetland
Grace Church Emmanuel Parish,MIDLAND,FAUQUIER,"5096 GRACE CHURCH LN, MIDLAND 22728",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.644301,-77.715401,wetland
Grace Church Emmanuel Parish,MIDLAND,FAUQUIER,"5092 GRACE CHURCH LN, MIDLAND 22728",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.645217,-77.713171,wetland
Grace Church Emmanuel Parish,MIDLAND,FAUQUIER,"5094 GRACE CHURCH LN, MIDLAND 22728",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.645381,-77.714623,wetland
St Stephens Church,CATLETT,FAUQUIER,"8691 OLD DUMFRIES RD, CATLETT 20119",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.680175000000006,-77.66763499999999,wetland
St Stephens Church,CATLETT,FAUQUIER,"8693 OLD DUMFRIES RD, CATLETT 20119",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.68005,-77.66691399999998,wetland
St Johns Church,COLUMBIA,FLUVANNA,"FAYETTE ST, COLUMBIA 23038",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.754815,-78.16206600000001,wetland
St Johns Church,COLUMBIA,FLUVANNA,"64 K ST, COLUMBIA 23038",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.754414,-78.162325,wetland
St Johns Church,COLUMBIA,FLUVANNA,"WASHINGTON ST, COLUMBIA 23038",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.754238,-78.161912,wetland
St Johns Church,COLUMBIA,FLUVANNA,"43 WASHINGTON ST, COLUMBIA 23038",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.753809,-78.162264,wetland
St Johns Church,COLUMBIA,FLUVANNA,COLUMBIA 23038,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.753359,-78.162379,wetland
Grace Episcopal Church,BREMO BLUFF,FLUVANNA,BREMO BLUFF 23022,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.716627,-78.297518,wetland
St Johns Church,COLUMBIA,FLUVANNA,"48 CAMERON ST, COLUMBIA 23038",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.753178000000005,-78.161158,wetland
St Pauls on the Hill Church,WINCHESTER,FREDERICK,"1527 SENSENY RD, WINCHESTER 22602",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,39.169944,-78.134498,wetland
St Francis Episcopal Church,MANAKIN SABOT,GOOCHLAND,"1484 HOCKETT RD, MANAKIN SABOT 23103",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.659451,-77.680328,wetland
Calvary Episcopal Church,HANOVER,HANOVER,"13312 HANOVER COURTHOUSE RD, HANOVER 23069",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.769148,-77.37028,wetland
St Johns Church,KING GEORGE,KING-GEORGE,"10367 RECTORY LN, KING GEORGE 22485",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38.270151,-77.174342,land_value
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.533466,-76.797114,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.533968,-76.79738900000001,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.533695,-76.796742,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"902 MAIN ST, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.533843,-76.79732100000001,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.533654,-76.796859,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"415 10 ST, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.534479999999995,-76.797079,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.533722,-76.796664,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"902 MAIN ST, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.533592,-76.797183,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"902 MAIN ST, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.533717,-76.797252,wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"415 10 ST, WEST POINT 23181",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.534521,-76.796962,wetland
Church of Our Redeemer,ALDIE,LOUDOUN,"39518 LITTLE RIVER TPKE, ALDIE 20105",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.975221,-77.636971,wetland
St Peters Church,PURCELLVILLE,LOUDOUN,"37018 GLENDALE ST, PURCELLVILLE 20132",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,39.129139,-77.723605,wetland
Piedmont/Bromfield Parish,MADISON,MADISON,"214 CHURCH ST, MADISON 22727",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.379245,-78.256711,wetland
Piedmont/Bromfield Parish,MADISON,MADISON,"206 CHURCH ST, MADISON 22727",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.379438,-78.25696,wetland
St Georges Church,STANLEY,PAGE,"3392 PINE GROVE RD, STANLEY 22851",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.536373999999995,-78.481571,wetland
Christ Ascension Church,RICHMOND,RICHMOND-CITY,"1704 WEST LABURNUM AVE, RICHMOND 23227",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.584563,-77.46406,wetland
Christ Ascension Church,RICHMOND,RICHMOND-CITY,"1700 WEST LABURNUM AVE, RICHMOND 23227",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.584448,-77.463003,wetland
North Farnham Parish Church,FARNHAM,RICHMOND,FARNHAM 22460,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.886625,-76.624605,wetland
North Farnham Parish Church,FARNHAM,RICHMOND,"28 CANAL RD, FARNHAM 22460",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.88639,-76.62535299999999,wetland
North Farnham Parish Church,FARNHAM,RICHMOND,FARNHAM 22460,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.886210000000005,-76.624921,wetland
North Farnham Parish Church,FARNHAM,RICHMOND,"231 NORTH FARNHAM CHURCH RD, FARNHAM 22460",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.885964,-76.62528200000001,wetland
St Johns Church,WARSAW,RICHMOND,WARSAW 22572,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.957879,-76.764593,wetland
Aquia Church,STAFFORD,STAFFORD,"2928 RICHMOND HWY, STAFFORD 22554",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.463835,-77.40344900000001,wetland
Aquia Church,STAFFORD,STAFFORD,"1021 AQUIA DR, STAFFORD 22554",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.45983,-77.400157,wetland
Aquia Church,STAFFORD,STAFFORD,STAFFORD 22554,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.464634,-77.401983,wetland
Aquia Church,STAFFORD,STAFFORD,STAFFORD 22554,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.464490999999995,-77.401544,wetland
Aquia Church,STAFFORD,STAFFORD,STAFFORD 22554,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.463722,-77.40181399999999,wetland
Aquia Church,STAFFORD,STAFFORD,STAFFORD 22554,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.463754,-77.402608,wetland
Aquia Church,STAFFORD,STAFFORD,"2918 RICHMOND HWY, STAFFORD 22554",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.464505,-77.403655,wetland
Aquia Church,STAFFORD,STAFFORD,"2948 RICHMOND HWY, STAFFORD 22554",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.465114,-77.403629,wetland
St Johns Church,WARSAW,RICHMOND,"5987 RICHMOND RD, WARSAW 22572",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.957876,-76.755236,wetland
St Marys Church,BERRYVILLE,CLARKE,"110 NORTH BUCKMARSH ST, BERRYVILLE 22611",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,39.153078,-77.981286,wetland
St Marys Church,BERRYVILLE,CLARKE,"104 NORTH BUCKMARSH ST, BERRYVILLE 22611",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,39.152826,-77.981426,wetland
Emmanuel Church,KING GEORGE,KING-GEORGE,"11005 LAMBS CREEK CHURCH RD, KING GEORGE 22485",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38.264463,-77.26673,land_value
St Johns Church,WARSAW,RICHMOND,"5458 RICHMOND RD, WARSAW 22572",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,37.958412,-76.76449799999999,wetland
Emmanuel Church,WOODSTOCK,SHENANDOAH,"114 EAST COURT ST, WOODSTOCK 22664",5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38.881386000000006,-78.50477,wetland
