uid,pid,congr_name,clean_name,clean_city,sadd,scity,scounty,lan_val,rgisacre,lat,lon
0922 01  0001_FAIRFAX_VA_07822DE6-E9BD-4124-836D-B8F435E25F37,0922 01  0001,St Marks Church (Alexandria) & La Iglesia de San Marcos (Alexandria),st marks church & la iglesia de san marcos,alexandria,"6752 SOUTH KINGS HWY, ALEXANDRIA 22306",ALEXANDRIA,FAIRFAX,294000,0.82844,38.772032,-77.102209
0922 26  0001_FAIRFAX_VA_CDDE7C83-6C67-4B1E-88EA-05D0388D7105,0922 26  0001,St Marks Church (Alexandria) & La Iglesia de San Marcos (Alexandria),st marks church & la iglesia de san marcos,alexandria,"6744 SOUTH KINGS HWY, ALEXANDRIA 22306",ALEXANDRIA,FAIRFAX,338000,1.49062,38.772296999999995,-77.10158
0612 27  0024_FAIRFAX_VA_E69FAA6D-C6BE-45F0-8FB1-EB78BDC0ABE2,0612 27  0024,St Pauls Church (Baileys Crossroads),st pauls church,falls church,"3312 KAYWOOD PL, FALLS CHURCH 22041",FALLS CHURCH,FAIRFAX,343000,0.35867,38.855778,-77.132276
0351 04200001_FAIRFAX_VA_902EBE3D-1AA5-4704-A7B3-E821B8636EF9,0351 04200001,Epiphany Episcopal Church (Oak Hill),epiphany episcopal church,herndon,"3301 HIDDEN MEADOW DR, HERNDON 20171",HERNDON,FAIRFAX,1059000,4.644760000000001,38.906475,-77.407335
0382 01  0006_FAIRFAX_VA_AA49874E-C6B6-4FC5-B44D-40B79A4627EB,0382 01  0006,Church of the Holy Comforter (Vienna),church of the holy comforter,wolf trap,WOLF TRAP 22180,WOLF TRAP,FAIRFAX,1541000,6.53894,38.916341,-77.262937
0282 01  0012_FAIRFAX_VA_606BF8F5-F80C-48F7-AC88-0AA06925916F,0282 01  0012,St Thomas Church (McLean),st thomas church,mc lean,"8991 BROOK RD, MC LEAN 22102",MC LEAN,FAIRFAX,922000,5.05768,38.943393,-77.253602
0313 01  0059_FAIRFAX_VA_31822BD1-CDC4-4139-9FC5-98260AFC32B0,0313 01  0059,St Dunstans Church (McLean) & St Francis Korean Church (McLean),st dunstans church & st francis korean church,mc lean,"1830 KIRBY RD, MC LEAN 22101",MC LEAN,FAIRFAX,3285000,5.11958,38.916946,-77.160935
0601 21      A_FAIRFAX_VA_53E20510-8D12-4C10-A375-B0275D9852CD,0601 21      A,St Patricks Anglo Vietnamese Church (Falls Church),st patricks anglo vietnamese church,west falls church,WEST FALLS CHURCH 22042,WEST FALLS CHURCH,FAIRFAX,983000,2.62002,38.858092,-77.190233
0813 05  0001B_FAIRFAX_VA_49A87D0A-4E0C-4315-B298-8A7325275C0B,0813 05  0001B,Olivet Church (Alexandria) & Church of the Spirit (Alexandria),olivet church & church of the spirit,alexandria,"6107 FRANCONIA RD, ALEXANDRIA 22310",ALEXANDRIA,FAIRFAX,2331000,2.21368,38.781393,-77.146527
6929-63-0478-000_FAUQUIER_VA_B1768B9E-D5F3-4DBF-A19D-4BB3D6672FEF,6929-63-0478-000,Episcopal Church of Leeds Parish (Markham),episcopal church of leeds parish,unassigned,UNASSIGNED 22643,UNASSIGNED,FAUQUIER,16600,1.39126,38.85119,-77.997326
6948-99-2131-000_FAUQUIER_VA_C3C1E5DF-2A5A-4BAF-BD3C-9671218BDE72,6948-99-2131-000,Piedmont Parish (Delaplane) & St Andrews Church (Ada),piedmont parish & st andrews church,marshall,"9816 CREST HILL RD, MARSHALL 20115",MARSHALL,FAUQUIER,161300,2.51335,38.838945,-77.916139
7000-51-0764-000_FAUQUIER_VA_7C1037FB-6622-47CC-93D4-7D88E23731A3,7000-51-0764-000,Grace Church (The Plains),grace church,unassigned,UNASSIGNED 20198,UNASSIGNED,FAUQUIER,100,0.0931,38.872492,-77.719671
7818-95-8837-000_FAUQUIER_VA_E6DD7AC9-1947-405D-80F2-1B8C2BB518C4,7818-95-8837-000,St Stephens Church (Catlett),st stephens church,midland,"12187 ELK RUN RD, MIDLAND 22728",MIDLAND,FAUQUIER,75000,0.47945,38.554003,-77.671521
7905-21-1211-000_FAUQUIER_VA_94C2871C-5B92-4BC1-BB29-779D19FA675A,7905-21-1211-000,St James Church (Warrenton),st james church,new baltimore,"UNASSIGNED, NEW BALTIMORE 20187",NEW BALTIMORE,FAUQUIER,25000,0.96892,38.733805,-77.731636
7908-24-1344-000_FAUQUIER_VA_5153C965-5335-41C8-A137-2104F8DB02EC,7908-24-1344-000,Grace Church (The Plains),grace church,unassigned,UNASSIGNED 20137,UNASSIGNED,FAUQUIER,23400,3.17673,38.824757,-77.730446
7908-24-1554-000_FAUQUIER_VA_1554BEC1-D913-42E8-A8F9-840ED792EDCF,7908-24-1554-000,Grace Church (The Plains),grace church,unassigned,UNASSIGNED 20137,UNASSIGNED,FAUQUIER,16800,2.43408,38.825351999999995,-77.730379
7908-24-3860-000_FAUQUIER_VA_B0B783A5-DD69-4A67-8FE2-63C7E994686E,7908-24-3860-000,Grace Church (The Plains),grace church,unassigned,UNASSIGNED 20137,UNASSIGNED,FAUQUIER,248200,9.32026,38.825920000000004,-77.729653
7923-02-3175-000_FAUQUIER_VA_15CCD251-919D-4CDE-884C-6D2FDF6CEA88,7923-02-3175-000,St Stephens Church (Catlett),st stephens church,unassigned,UNASSIGNED 20119,UNASSIGNED,FAUQUIER,35900,8.71859,38.681191,-77.668450000000007
6050-13-0326-000_FAUQUIER_VA_92F0BE10-4AE5-47B5-AD61-15821FE65EDE,6050-13-0326-000,Piedmont Parish (Delaplane),piedmont parish,unassigned,UNASSIGNED 20115,UNASSIGNED,FAUQUIER,7200,0.2983,38.878125,-77.909653
6929-63-6408-000_FAUQUIER_VA_1D9E028C-B805-4CD5-A2E8-C939D1E352F8,6929-63-6408-000,Episcopal Church of Leeds Parish (Markham),episcopal church of leeds parish,unassigned,UNASSIGNED 22639,UNASSIGNED,FAUQUIER,100,4.962809999999999,38.85104,-77.99562999999998
6929-62-4960-000_FAUQUIER_VA_423DBB90-62BD-4716-990F-663988D21EC3,6929-62-4960-000,Episcopal Church of Leeds Parish (Markham),episcopal church of leeds parish,hume,"4347 LEEDS MANOR RD, HUME 22639",HUME,FAUQUIER,212400,3.79974,38.849736,-77.995912
7923-02-3175-800_FAUQUIER_VA_FF7A2727-2B32-4769-9D89-47866406D682,7923-02-3175-800,St Stephens Church (Catlett),st stephens church,unassigned,UNASSIGNED 20119,UNASSIGNED,FAUQUIER,115000,1.01454,38.680599,-77.66720699999999
0665-01-3440_GLOUCESTER_VA_CB40FFCF-1C4D-43CA-AE28-9A9C591FD57B,0665-01-3440,Abingdon Church (White Marsh),abingdon church,hayes,"4645 GEORGE WASH MEMORIAL HWY, HAYES 23072",HAYES,GLOUCESTER,479660,23.7441,37.33521,-76.513389
0665-00-1886_GLOUCESTER_VA_46EE60A6-9BFE-424F-A20B-90D9B7B3F76D,0665-00-1886,Abingdon Church (White Marsh),abingdon church,hayes,"GEORGE WASH MEMORIAL HWY, HAYES 23072",HAYES,GLOUCESTER,9000,0.4199,37.332944000000005,-76.514179
0665-00-2707_GLOUCESTER_VA_6EE577BC-9A3F-4D56-9466-D52CDA2C6FDC,0665-00-2707,Abingdon Church (White Marsh),abingdon church,hayes,"GEORGE WASH MEMORIAL HWY, HAYES 23072",HAYES,GLOUCESTER,7650,0.34894,37.332495,-76.51408
0655-92-5936_GLOUCESTER_VA_17C79D0F-1608-46B5-81D4-A478493B0CCF,0655-92-5936,Abingdon Church (White Marsh),abingdon church,hayes,"FEATHERBED LN, HAYES 23072",HAYES,GLOUCESTER,71340,26.493550000000003,37.338198,-76.51609300000001
0665-02-2937_GLOUCESTER_VA_841E5C2E-799F-48CB-9498-CFE5393FC30A,0665-02-2937,Abingdon Church (White Marsh),abingdon church,hayes,"FEATHERBED LN, HAYES 23072",HAYES,GLOUCESTER,105580,14.80162,37.337962,-76.51387600000001
0665-02-9684_GLOUCESTER_VA_0872CF6A-3146-4B67-9A1D-E0D155BC4E7D,0665-02-9684,Abingdon Church (White Marsh),abingdon church,hayes,"FEATHERBED LN, HAYES 23061",HAYES,GLOUCESTER,149720,81.44199,37.335553,-76.50975
64-1-0-82-A_GOOCHLAND_VA_08D7A9CA-B85B-413D-AC97-E40A7BE70EC5,64-1-0-82-A,St Mary's Episcopal Church (Richmond),st mary's episcopal church,henrico,"12291 RIVER RD, HENRICO 23238",HENRICO,GOOCHLAND,778100,4.64659,37.586856,-77.629333
64-1-0-82-0_GOOCHLAND_VA_64E55827-E853-493E-8719-CA4A9FCE492A,64-1-0-82-0,St Mary's Episcopal Church (Richmond),st mary's episcopal church,henrico,"12291 RIVER RD, HENRICO 23238",HENRICO,GOOCHLAND,1025800,8.487419999999998,37.586026,-77.629576
8706-20-4852_HANOVER_VA_CEB33C39-6FAE-4810-8650-93C488EBD67F,8706-20-4852,All Souls Episcopal Church (Mechanicsville) & Church of the Creator (Mechanicsville),all souls episcopal church & church of the creator,mechanicsville,"110 WEST FRANKLIN ST, MECHANICSVILLE 23116",MECHANICSVILLE,HANOVER,200,0.01139,37.646523,-77.39634
8706-20-5623_HANOVER_VA_DF067BB2-1E3D-4CBE-8762-2253A0B95F27,8706-20-5623,All Souls Episcopal Church (Mechanicsville) & Church of the Creator (Mechanicsville),all souls episcopal church & church of the creator,mechanicsville,"9077 ATLEE RD, MECHANICSVILLE 23116",MECHANICSVILLE,HANOVER,92400,2.57662,37.645998,-77.396087
8714-67-9585_HANOVER_VA_CBA96663-60B5-4904-B1EB-0EE4C04127E6,8714-67-9585,All Souls Episcopal Church (Mechanicsville) & Church of the Creator (Mechanicsville),all souls episcopal church & church of the creator,mechanicsville,"7159 MECHANICSVILLE TPKE, MECHANICSVILLE 23111",MECHANICSVILLE,HANOVER,1177100,4.39291,37.609606,-77.346714
740-741-6175_HENRICO_VA_8876A6E9-FF77-4942-821B-127A13028644,740-741-6175,St Bartholomews Episcopal Church (Richmond),st bartholomews episcopal church,henrico,"10627 PATTERSON AVE, HENRICO 23238",HENRICO,HENRICO,501000,5.08094,37.596048999999994,-77.61049
758-741-8230_HENRICO_VA_20196F5C-747E-4FF8-BBDB-882799897D43,758-741-8230,St Matthews Episcopal Church (Richmond),st matthews episcopal church,henrico,"1101 FOREST AVE, HENRICO 23229",HENRICO,HENRICO,646000,3.43934,37.594239,-77.547718
750-732-8847_HENRICO_VA_5614964D-F74B-4620-9593-916138B609BF,750-732-8847,All Saints Church (Richmond),all saints church,henrico,"8787 RIVER RD, HENRICO 23229",HENRICO,HENRICO,1557000,12.89205,37.57013499999999,-77.575622
751-731-0652_HENRICO_VA_6A4B3104-5719-40E6-AEB4-13688EAA50A4,751-731-0652,All Saints Church (Richmond),all saints church,henrico,"8751 RIVER RD, HENRICO 23229",HENRICO,HENRICO,1995900,36.24284,37.567773,-77.575156
752-731-0629_HENRICO_VA_74DAEDD4-AD7B-46F0-ABFF-7BA24BC90D7B,752-731-0629,All Saints Church (Richmond),all saints church,henrico,"8727 RIVER RD, HENRICO 23229",HENRICO,HENRICO,10607500,72.96526999999999,37.566745999999995,-77.571134
751-729-6059_HENRICO_VA_87802868-5990-4EE8-A25F-4CC9F8B54A8E,751-729-6059,All Saints Church (Richmond),all saints church,henrico,"RIVER RD, HENRICO 23229",HENRICO,HENRICO,66800,23.145529999999997,37.562278,-77.572968
24 54R 39_KING-AND-QUEEN_VA_09866462-C7D5-44C3-9EDD-6FB248369BFB,24 54R 39,Immanuel Church (King and Queen Court House),immanuel church,queen ch,"208 ALLENS CIR, QUEEN CH 23085",QUEEN CH,KING-AND-QUEEN,10000,0.46961,37.670403,-76.87807
24 54R 40_KING-AND-QUEEN_VA_ED25247E-2917-4E87-A8D0-DB16B192E3DE,24 54R 40,Immanuel Church (King and Queen Court House),immanuel church,queen ch,"190 ALLENS CIR, QUEEN CH 23085",QUEEN CH,KING-AND-QUEEN,15000,0.66078,37.6708,-76.87798099999998
24 54R 1022_KING-AND-QUEEN_VA_EB1AED47-F085-4964-A645-274657BC2C57,24 54R 1022,Immanuel Church (King and Queen Court House),immanuel church,house,"KING, HOUSE 23085",HOUSE,KING-AND-QUEEN,20900,2.11536,37.671696,-76.878509
54-66_KING-WILLIAM_VA_E7964C16-84F3-4AC8-BD5D-5FD510B06A87,54-66,St Johns Episcopal Church (West Point),st johns episcopal church,unassigned,UNASSIGNED 23181,UNASSIGNED,KING-WILLIAM,44000,1.93903,37.617206,-76.921844
29-A-216F_MATHEWS_VA_14491F01-3160-453C-8881-B827B14EB9F9,29-A-216F,Kingston Parish (Mathews),kingston parish,NA,23109,NA,MATHEWS,50000,9.53502,37.409042,-76.334523
42    1   165_NORTHUMBERLAND_VA_4EAE35DE-CA69-4B3A-813C-7A4593C8998C,42    1   165,Wicomico Parish Church (Wicomico Church),wicomico parish church,heathsville,"5191 JESSIE DUPONT MEM HWY, HEATHSVILLE 22473",HEATHSVILLE,NORTHUMBERLAND,40000,1.95452,37.814058,-76.377774
42    1   167_NORTHUMBERLAND_VA_B2063339-F42D-4535-B54A-6777948493ED,42    1   167,Wicomico Parish Church (Wicomico Church),wicomico parish church,heathsville,"5125 JESSIE BALL DUPONT MEM HWY, HEATHSVILLE 22473",HEATHSVILLE,NORTHUMBERLAND,36600,2.41742,37.814865,-76.377489
42    1   167 B_NORTHUMBERLAND_VA_028D96CE-2A5A-4610-A59C-4466F1075A49,42    1   167 B,Wicomico Parish Church (Wicomico Church),wicomico parish church,heathsville,"JESSIE DUPONT HWY, HEATHSVILLE 22473",HEATHSVILLE,NORTHUMBERLAND,68300,8.55276,37.812197,-76.37393200000001
42    1   167 B_NORTHUMBERLAND_VA_A3147C3B-D466-49DC-92C6-1642CCE09118,42    1   167 B,Wicomico Parish Church (Wicomico Church),wicomico parish church,heathsville,"JESSIE DUPONT HWY, HEATHSVILLE 22473",HEATHSVILLE,NORTHUMBERLAND,68300,20.41623,37.812462999999994,-76.376092
W0000002003_RICHMOND-CITY_VA_62A44ABB-D6D0-4361-9339-999D0AB6E7A7,W0000002003,St Andrews Church (Richmond) & St Pauls Church (Richmond),st andrews church & st pauls church,richmond,"819 EAST GRACE ST, RICHMOND 23219",RICHMOND,RICHMOND-CITY,497000,0.2284,37.539814,-77.435081
31-64_RICHMOND_VA_170A3EEB-419B-4D77-A2B3-0F5AC901DFF9,31-64,North Farnham Parish Church (Farnham),north farnham parish church,warsaw,WARSAW 22572,WARSAW,RICHMOND,6000,2.29023,37.895347,-76.675896
21        49A_STAFFORD_VA_61CFC02E-5833-410F-9BAF-033C39B097F2,21        49A,Aquia Church (Stafford),aquia church,aquia harbour,AQUIA HARBOUR 22554,AQUIA HARBOUR,STAFFORD,2339700,31.38401,38.464089,-77.400849
10-17B_WESTMORELAND_VA_A5DF78F0-73AC-4559-A627-502ABFAEEA00,10-17B,St Peters (Oak Grove),st peters,colonial beach,COLONIAL BEACH 22443,COLONIAL BEACH,WESTMORELAND,NA,0.22575,38.182072000000005,-76.996557
10-14A_WESTMORELAND_VA_7A50F9B6-65DB-4237-AEA3-F2B6A5B11F93,10-14A,St Peters (Oak Grove),st peters,colonial beach,COLONIAL BEACH 22443,COLONIAL BEACH,WESTMORELAND,NA,0.18494,38.181718,-76.996263
36-101A_WESTMORELAND_VA_931342D6-9CD8-4431-9855-6E198715F42A,36-101A,Cople Parish (Kinsale),cople parish,montross,"COPLE HWY, MONTROSS 22520",MONTROSS,WESTMORELAND,NA,0.3907,38.098811,-76.730832
38-100_WESTMORELAND_VA_30ED98D1-F5D8-463C-BE6E-6560D2531F95,38-100,Cople Parish (Kinsale),cople parish,montross,"75 ST JAMES LN, MONTROSS 22520",MONTROSS,WESTMORELAND,NA,1.05469,38.117096,-76.641
47-31_WESTMORELAND_VA_A0707CD9-B245-433C-B9ED-646B3E24CE5B,47-31,Cople Parish (Kinsale),cople parish,hague,"72 COLES POINT RD, HAGUE 22469",HAGUE,WESTMORELAND,NA,5.38338,38.071000999999995,-76.644856
9-59B_WESTMORELAND_VA_23CAA9BC-F6C4-4B9D-82FA-91CF6023C3AB,9-59B,St Peters (Oak Grove),st peters,colonial beach,"325 OAK GROVE RD, COLONIAL BEACH 22443",COLONIAL BEACH,WESTMORELAND,NA,1.51081,38.18131,-77.003962
9-60_WESTMORELAND_VA_D666BB3D-937E-4B31-80A1-BFC20A1E6CB3,9-60,St Peters (Oak Grove),st peters,NA,22443,NA,WESTMORELAND,NA,3.52932,38.182154,-77.004079
9-59C_WESTMORELAND_VA_96C822E2-595F-46B0-8161-148C4D69980F,9-59C,St Peters (Oak Grove),st peters,NA,22443,NA,WESTMORELAND,NA,2.01726,38.181788,-77.003073
10-16_WESTMORELAND_VA_1998B321-24F9-4FA1-AD92-BAA731B97CB0,10-16,St Peters (Oak Grove),st peters,colonial beach,COLONIAL BEACH 22443,COLONIAL BEACH,WESTMORELAND,NA,0.24284,38.181609,-76.99592100000001
10-13_WESTMORELAND_VA_EF50873A-D960-4FEF-9CFA-D48F2261A891,10-13,St Peters (Oak Grove),st peters,colonial beach,"2961 KINGS HWY, COLONIAL BEACH 22443",COLONIAL BEACH,WESTMORELAND,NA,0.53034,38.181987,-76.99598
10-8A_WESTMORELAND_VA_8ECB6D15-E616-420A-8149-61A829BA81AB,10-8A,St Peters (Oak Grove),st peters,colonial beach,COLONIAL BEACH 22443,COLONIAL BEACH,WESTMORELAND,NA,0.27903,38.182297,-76.996241
10-14_WESTMORELAND_VA_E09CF763-0FFB-43BF-A6FD-52E9A036F170,10-14,St Peters (Oak Grove),st peters,colonial beach,COLONIAL BEACH 22443,COLONIAL BEACH,WESTMORELAND,NA,0.29194,38.181839,-76.996557
5-28A_WESTMORELAND_VA_95F99C7D-8280-4CF4-B9B4-54EB17395010,5-28A,St Pauls Church Nomini Grove (Warsaw),st pauls church nomini grove,colonial beach,"2265 LONGFIELD RD, COLONIAL BEACH 22443",COLONIAL BEACH,WESTMORELAND,NA,1.39945,38.230087999999995,-77.03544
10-15_WESTMORELAND_VA_D1BE3F21-084C-47AB-9E2F-D827ADAF4FA0,10-15,St Peters (Oak Grove),st peters,colonial beach,COLONIAL BEACH 22443,COLONIAL BEACH,WESTMORELAND,NA,0.06391,38.18167,-76.996094
36-99_WESTMORELAND_VA_48CCE1C9-3A46-46AC-814D-B4AD9A2170BD,36-99,Cople Parish (Kinsale),cople parish,montross,"COPLE HWY, MONTROSS 22520",MONTROSS,WESTMORELAND,NA,1.41586,38.098141000000005,-76.73142499999999
36-98_WESTMORELAND_VA_2E28ED3B-649F-4C59-8948-6FC60F4987F7,36-98,Cople Parish (Kinsale),cople parish,montross,"COPLE HWY, MONTROSS 22520",MONTROSS,WESTMORELAND,NA,1.56727,38.097545,-76.731494
36-101_WESTMORELAND_VA_1082F751-AC2B-4F58-8A26-0814DAF9B8C2,36-101,Cople Parish (Kinsale),cople parish,montross,"3589 COPLE HWY, MONTROSS 22520",MONTROSS,WESTMORELAND,NA,1.11426,38.098305,-76.730621
7861_ESSEX_VA_B7FE7282-D4CA-4ABD-840D-1A5A46F5A087,7861,Grace Church (Millers Tavern),grace church,dunnsville,"606 HOWERTON RD, DUNNSVILLE 22454",DUNNSVILLE,ESSEX,153500,3.51675,37.827164,-76.934005
21032001_ARLINGTON_VA_62F7D699-D0E0-4CF5-9EF8-97BE9609C462,21032001,St Johns Episcopal Church (Arlington) & La Iglesia de Cristo Rey (Arlington),st johns episcopal church & la iglesia de cristo rey,arlington,"415 SOUTH LEXINGTON ST, ARLINGTON 22204",ARLINGTON,ARLINGTON,1087700,0.55813,38.862604,-77.127174
7908-14-8278-000_FAUQUIER_VA_1657FD32-FD45-4847-ABAF-0B0719A0AB85,7908-14-8278-000,Grace Church (The Plains),grace church,broad run,"5370 TRAPP BRANCH RD, BROAD RUN 20137",BROAD RUN,FAUQUIER,105000,0.70569,38.824619,-77.731454
231481759000_LOUDOUN_VA_8FE03C72-7C21-4551-A274-7511BE27088B,231481759000,St James Church (Leesburg) & St Gabriels Episcopal Church (Leesburg),st james church & st gabriels episcopal church,leesburg,"20 CORNWALL ST NORTHWEST, LEESBURG 20176",LEESBURG,LOUDOUN,437800,0.58227,39.117314,-77.565105
231482756000_LOUDOUN_VA_F93575C8-76F2-4251-A1F3-F69596B1F534,231482756000,St James Church (Leesburg) & St Gabriels Episcopal Church (Leesburg),st james church & st gabriels episcopal church,leesburg,"14 CORNWALL ST NORTHWEST, LEESBURG 20176",LEESBURG,LOUDOUN,307100,0.49596,39.117216,-77.56475
231483752000_LOUDOUN_VA_BBCF77AF-64B6-40BF-9D48-B22D260EE791,231483752000,St James Church (Leesburg) & St Gabriels Episcopal Church (Leesburg),st james church & st gabriels episcopal church,leesburg,"8 CORNWALL ST NORTHWEST, LEESBURG 20176",LEESBURG,LOUDOUN,359400,0.46771,39.11712,-77.564433
231484359000_LOUDOUN_VA_0678579E-5A7D-4AFE-AFC6-33AFC3659BAE,231484359000,St James Church (Leesburg) & St Gabriels Episcopal Church (Leesburg),st james church & st gabriels episcopal church,leesburg,LEESBURG 20176,LEESBURG,LOUDOUN,290800,0.0178,39.117336,-77.564193
5-29_WESTMORELAND_VA_C8D9728C-8D8B-4C03-9630-DD382A58AE99,5-29,St Pauls Church Nomini Grove (Warsaw),st pauls church nomini grove,colonial beach,COLONIAL BEACH 22443,COLONIAL BEACH,WESTMORELAND,NA,25.16831,38.228408,-77.037685
W0000002004B_RICHMOND-CITY_VA_91773C6B-5779-4BCC-BF59-DBB3ABD39A77,W0000002004B,St Andrews Church (Richmond) & St Pauls Church (Richmond),st andrews church & st pauls church,richmond,"111 NORTH 8 ST, RICHMOND 23219",RICHMOND,RICHMOND-CITY,1075000,0.63148,37.540027,-77.435439
