uid,pid,sadd,scity,scounty,lan_val,rgisacre,lat,lon
12001092_HAMPTON_VA_22C140AE-3879-4ED8-82A1-150CB248D76A,12001092,"102 EAST COLLEGE PL, HAMPTON 23669",HAMPTON,HAMPTON,0,0.23069,37.023709,-76.334854000000007
2000217_HAMPTON_VA_A0A97B66-8940-42E0-9180-D24284C8B893,2000217,"1242 WEST QUEEN ST, HAMPTON 23669",HAMPTON,HAMPTON,305100,3.04903,37.026757,-76.368634
2000228_HAMPTON_VA_293953B4-7967-44E2-9021-541513310AA7,2000228,"W QUEEN ST, HAMPTON 23669",HAMPTON,HAMPTON,17200,0.15416,37.026478,-76.367901
7883-38-0871_HANOVER_VA_5B50F9BB-2AB4-417D-AE02-A79807541FEF,7883-38-0871,"10523 DOSWELL RD, DOSWELL 23047",DOSWELL,HANOVER,2100,0.3739,37.861289,-77.460306
7835-32-3982_HANOVER_VA_01728026-5ACF-4654-B70F-EF9EF92583DB,7835-32-3982,"18185 TEMAN RD, BEAVERDAM 23015",BEAVERDAM,HANOVER,71100,2.09633,37.901407,-77.631941
787-750-0003_HENRICO_VA_7B5A8FA2-2151-49BE-9618-C93047D4451C,787-750-0003,"EDGEWOOD AVE, HENRICO 23227",HENRICO,HENRICO,600,0.13321,37.617355,-77.450106
829-724-8371_HENRICO_VA_6BE66D65-A89B-4825-9AF5-898D6CE519DC,829-724-8371,"659 NORTH AIRPORT DR, HENRICO 23075",HENRICO,HENRICO,3400,0.48358,37.546424,-77.303305
821-725-7149_HENRICO_VA_EBEC6650-D810-4BFD-A782-CAD2D4117B7D,821-725-7149,"1 NORTH BEECH AVE, HENRICO 23075",HENRICO,HENRICO,32500,0.14501,37.54884,-77.331325
821-725-7641_HENRICO_VA_9F6D23EF-9EF5-4024-8D34-19A558D8A670,821-725-7641,"2 SOUTH CEDAR AVE, HENRICO 23075",HENRICO,HENRICO,30900,0.18922,37.548603,-77.331128
821-725-8152_HENRICO_VA_E638E0BB-9FE5-4E8E-B2D0-C8D9E883656E,821-725-8152,"501 WEST NINE MILE RD, HENRICO 23075",HENRICO,HENRICO,97900,0.5579,37.548884,-77.330972
830-724-4358_HENRICO_VA_E4B25113-A030-40A9-922E-7F87BA31926C,830-724-4358,"665 NORTH AIRPORT DR, HENRICO 23075",HENRICO,HENRICO,107500,10.07355,37.545927000000006,-77.301189
1240100010_JAMES-CITY_VA_F8498D60-5829-485F-A79C-510CDAD58819,1240100010,"8300 RICHMOND RD, TOANO 23168",TOANO,JAMES-CITY,105000,1.28644,37.392603,-76.803774
1240100010A_JAMES-CITY_VA_3057940E-1DF9-4C7E-AE91-26B133B988B6,1240100010A,"8320 RICHMOND RD, TOANO 23168",TOANO,JAMES-CITY,104200,1.28097,37.393292,-76.8041
1240100010B_JAMES-CITY_VA_F26BD328-8BE2-40C0-B3A4-E5AD7AD97A07,1240100010B,"8340 RICHMOND RD, TOANO 23168",TOANO,JAMES-CITY,206500,9.87708,37.393046,-76.802836
1240100010C_JAMES-CITY_VA_0C110178-2200-45DA-BA21-2314AEA8A154,1240100010C,"8300A RICHMOND RD, TOANO 23168",TOANO,JAMES-CITY,2100,0.04321,37.392262,-76.80412600000001
22 28_KING-GEORGE_VA_D8FFB7F5-09BB-4C3E-A5FB-D39CFCBB8D32,22 28,"11033 LAMBS CREEK CHURCH RD, KING GEORGE 22485",KING GEORGE,KING-GEORGE,NA,1.13578,38.264126,-77.26904800000001
22-62_KING-WILLIAM_VA_A72CC442-AB0D-4FA6-A107-AAE7CE956B77,22-62,"11235 WEST RIVER RD, AYLETT 23009",AYLETT,KING-WILLIAM,87120,0.85512,37.785796,-77.10422100000001
147277012000_LOUDOUN_VA_7F349307-567C-4186-816D-08B11055D424,147277012000,LEESBURG 20176,LEESBURG,LOUDOUN,1164000,11.64385,39.105667,-77.524161
148475479000_LOUDOUN_VA_B93D709B-1C42-47BA-B22C-E0617BC8BA36,148475479000,LEESBURG 20176,LEESBURG,LOUDOUN,0,2.03801,39.10445,-77.52515799999999
356402475000_LOUDOUN_VA_6C51D30A-654F-426F-A089-8354EB925F5E,356402475000,"39918 OATLANDS MILL RD, LEESBURG 20175",LEESBURG,LOUDOUN,302100,1.73999,39.030204,-77.622274
28         4_MADISON_VA_FB38658D-E505-4E05-B2D3-445C63D4582F,28         4,"104 BLUFF MTN RD, MADISON 22727",MADISON,MADISON,100000,0.78795,38.423213,-78.370206
39-36-9A_MATHEWS_VA_8D52CEFB-3426-43C2-8784-68774F3627BB,39-36-9A,PORT HAYWOOD 23138,PORT HAYWOOD,MATHEWS,24500,2.41104,37.362748,-76.32735299999999
39        64_MIDDLESEX_VA_844E2049-5C33-40A4-AFE4-9039C0E18B69,39        64,"13947 GENERAL PULLER HWY, HARTFIELD 23071",HARTFIELD,MIDDLESEX,80800,10.29748,37.555537,-76.398292
265000411_NEWPORT-NEWS_VA_D29F8633-DA75-4A54-B66A-6FCAC5DC0B00,265000411,"45 MAIN ST, NEWPORT NEWS 23601",NEWPORT NEWS,NEWPORT-NEWS,259200,0.85006,37.029545,-76.4638
306040220_NEWPORT-NEWS_VA_9E02F8E1-65BB-4FD2-8751-57AD2E37ACB1,306040220,"750 26 ST, NEWPORT NEWS 23607",NEWPORT NEWS,NEWPORT-NEWS,11800,0.07801,36.983726,-76.416736
306040221_NEWPORT-NEWS_VA_5218DCDC-1CA2-45E4-A9CD-824A7F9AD184,306040221,"752 26 ST, NEWPORT NEWS 23607",NEWPORT NEWS,NEWPORT-NEWS,15500,0.09299,36.983771,-76.416622
070000228_NEWPORT-NEWS_VA_C903474C-7228-4AA5-AD5D-CC28D9712F5C,070000228,"15446 WARWICK BLVD, NEWPORT NEWS 23608",NEWPORT NEWS,NEWPORT-NEWS,1632300,5.67275,37.151815,-76.552321
306040225_NEWPORT-NEWS_VA_AAE7E3CB-C4B4-4CA6-83FE-02104EE70A98,306040225,"2515 MARSHALL AVE, NEWPORT NEWS 23607",NEWPORT NEWS,NEWPORT-NEWS,39200,0.19518,36.983928,-76.416229
220000321_NEWPORT-NEWS_VA_1C150C7C-F3EA-41C4-9C86-14E95E33CC2E,220000321,"372 HIDEN BLVD, NEWPORT NEWS 23606",NEWPORT NEWS,NEWPORT-NEWS,362000,3.83712,37.069106999999995,-76.496831
16A   1   90_NORTHUMBERLAND_VA_3C6EBD31-314D-4B5D-A023-D978A3D65BF5,16A   1   90,HEATHSVILLE 22473,HEATHSVILLE,NORTHUMBERLAND,500,0.03502,37.919485,-76.47239900000001
8292-88-1115_PRINCE-WILLIAM_VA_8B62D075-CA88-400C-A33A-7FBC02FBE15B,8292-88-1115,"2610 OMISOL RD, WOODBRIDGE 22192",WOODBRIDGE,PRINCE-WILLIAM,NA,2.87464,38.666684,-77.290884
8189-61-3892_PRINCE-WILLIAM_VA_5559712E-11B3-4EF6-8D69-821431E91F03,8189-61-3892,"17811 BATESTOWN RD, DUMFRIES 22026",DUMFRIES,PRINCE-WILLIAM,NA,0.74818,38.567535,-77.333732
8093-45-1851_PRINCE-WILLIAM_VA_CCB957FB-6E54-4AB8-A836-8D3CCA72BFA0,8093-45-1851,"5600 CROSS LN, WOODBRIDGE 22192",WOODBRIDGE,PRINCE-WILLIAM,NA,39.72886,38.687966,-77.374681
8392-51-6593_PRINCE-WILLIAM_VA_515F0917-7F45-4917-A5A1-3814BBA4A407,8392-51-6593,"13900 CHURCH HILL DR, WOODBRIDGE 22191",WOODBRIDGE,PRINCE-WILLIAM,NA,10.00225,38.649088,-77.264981
E0000940020_RICHMOND-CITY_VA_4872AF57-B3E0-4302-B140-546F647CAE01,E0000940020,"1715 NORTH 22 ST, RICHMOND 23223",RICHMOND,RICHMOND-CITY,92000,0.13278,37.545762,-77.409216
E0000940016_RICHMOND-CITY_VA_640140D8-E146-4D18-8794-61827791833D,E0000940016,"1703 NORTH 22 ST, 1/2, RICHMOND 23223",RICHMOND,RICHMOND-CITY,71000,0.05211,37.545509,-77.409462
W0000126017_RICHMOND-CITY_VA_1155F898-7859-4570-9FDE-A0F1AE4C9168,W0000126017,"116 WEST FRANKLIN ST, RICHMOND 23220",RICHMOND,RICHMOND-CITY,790000,0.44857,37.545124,-77.444868
W0210406001_RICHMOND-CITY_VA_C35DA4A8-E22F-46BA-A520-5922F13CF6D1,W0210406001,"5600 CARY STREET RD, RICHMOND 23226",RICHMOND,RICHMOND-CITY,149000,0.29903,37.569258000000005,-77.52093
12-23-12_SPOTSYLVANIA_VA_26BE13B1-6DB1-40E6-8074-AB0FB2DCC7E6,12-23-12,"PLANK RD, FREDERICKSBURG 22407",FREDERICKSBURG,SPOTSYLVANIA,337600,1.01636,38.293637,-77.572567
60        81K_STAFFORD_VA_1B8F79C0-D59A-4D7D-AA89-4AAF53D8094C,60        81K,FREDERICKSBURG 22405,FREDERICKSBURG,STAFFORD,100,0.69181,38.25966,-77.345161
19        23H_STAFFORD_VA_BAB4D5A8-1059-42AA-81F1-C2ABDD04DB58,19        23H,"96 SHELTON SHOP RD, STAFFORD 22554",STAFFORD,STAFFORD,195000,9.01653,38.465920999999994,-77.464289
19        23N_STAFFORD_VA_F8C46E35-F626-411F-A5A4-4A7E87D9B48F,19        23N,22554,NA,STAFFORD,5000,0.33097,38.466723,-77.464014
9062_STAUNTON_VA_4F0B26E2-CC03-44C5-BA63-74EF80C81819,9062,"214 WEST BEVERLEY ST, STAUNTON 24401",STAUNTON,STAUNTON,NA,1.99146,38.148814,-79.07512600000001
2624_STAUNTON_VA_AD86748D-1CD0-4C17-9983-94F9B6F04D10,2624,"102 SOUTH LEWIS ST, STAUNTON 24401",STAUNTON,STAUNTON,NA,0.29063,38.148135,-79.074786
55-1-28-13_WAYNESBORO_VA_1DEFFEFC-4DE8-4230-9998-D38FF06A11C4,55-1-28-13,"473 SOUTH WAYNE AVE, WAYNESBORO 22980",WAYNESBORO,WAYNESBORO,172300,0.07739,38.064206,-78.892485
48-96_WESTMORELAND_VA_777BD11F-BC7D-4A5A-9D09-4C84A68083D0,48-96,"1233 OLD YEOCOMICO RD, KINSALE 22488",KINSALE,WESTMORELAND,NA,12.74021,38.062838000000006,-76.596972
49-80_WESTMORELAND_VA_D6A4965B-0179-4C37-A8C7-861903FCDE2B,49-80,"15 TUCKER HILL RD, KINSALE 22488",KINSALE,WESTMORELAND,NA,0.68699,38.064597,-76.55927700000002
19-A-91_MATHEWS_VA_4A2CD84B-6D83-403B-814A-511FAEBBD2EA,19-A-91,"15661 JOHN CLAYTON MEMORIAL HWY, FOSTER 23056",FOSTER,MATHEWS,35100,3.10625,37.457093,-76.381629
04300000000700_ALBEMARLE_VA_9F8AF56A-27ED-4B1C-AEFA-9E5E453644CA,04300000000700,"2454 GARTH RD, CHARLOTTESVILLE 22901",CHARLOTTESVILLE,ALBEMARLE,202500,1.29381,38.10223800000001,-78.572827
8-A-82_CAROLINE_VA_7C97F597-2E30-4022-8A06-C1BC46C2B07A,8-A-82,"4565 FREDERICKSBURG TPKE, WOODFORD 22580",WOODFORD,CAROLINE,30000,0.61928,38.199096,-77.388209
7900_ESSEX_VA_1D714077-A776-42D3-9D4D-64E66175E600,7900,"COLNBROOK RD, CENTER CROSS 22437",CENTER CROSS,ESSEX,125000,1.06571,37.770091,-76.751312
7902_ESSEX_VA_DBEA50EC-3693-47E3-A2B0-CFE0CD8303D6,7902,"404 SOUTH WATER LN, TAPPAHANNOCK 22560",TAPPAHANNOCK,ESSEX,2400000,5.97492,37.927488,-76.856672
7903_ESSEX_VA_BF75BC8A-0690-46F7-A591-ABF3D3DDAF3A,7903,"612 SOUTH WATER LN, TAPPAHANNOCK 22560",TAPPAHANNOCK,ESSEX,350000,1.96106,37.92616,-76.855818
91B   1 C  20_FREDERICK_VA_4147C665-9583-4DFE-A950-FBFFED17CEC8,91B   1 C  20,"7854 CHURCH ST, MIDDLETOWN 22645",MIDDLETOWN,FREDERICK,45000,0.25502,39.027567000000005,-78.277424
7883-48-2344_HANOVER_VA_092BA0AC-4B31-4F74-8031-B4404856698C,7883-48-2344,"10523 DOSWELL RD, DOSWELL 23047",DOSWELL,HANOVER,89500,2.68001,37.859975000000006,-77.456272
306040223_NEWPORT-NEWS_VA_1D38E4F9-E6EE-44F1-97FB-026B61AE13FB,306040223,"758 26 ST, NEWPORT NEWS 23607",NEWPORT NEWS,NEWPORT-NEWS,14200,0.08716,36.983853,-76.416417
80-A-19_SPOTSYLVANIA_VA_4CBF50FF-7BC5-41AC-9145-053D03065963,80-A-19,"4040 LEWISTON RD, BUMPASS 23024",BUMPASS,SPOTSYLVANIA,45800,0.92453,38.0718,-77.74593800000001
55-1-28-25_WAYNESBORO_VA_5AD754C1-2DBE-4EED-8F2D-CCEBDB19E2A3,55-1-28-25,"460 CHESTNUT AVE, WAYNESBORO 22980",WAYNESBORO,WAYNESBORO,49000,0.08584,38.06427,-78.893104
