objectid,quickref,name,short_name,street,street2,city,state,zip,county,country_code,country,mail_street,mail_street2,mail_city,mail_state,mail_zip,mail_country_code,mail_country,phone,webaddress,email,tax_id,parishueid,f2014_members_this_year,f2014_sunday_attendance,f2014_plate_and_pledge,f2015_members_this_year,f2015_sunday_attendance,f2015_plate_and_pledge,f2016_members_this_year,f2016_sunday_attendance,f2016_plate_and_pledge,f2017_members_this_year,f2017_sunday_attendance,f2017_plate_and_pledge,f2018_members_this_year,f2018_sunday_attendance,f2018_plate_and_pledge,f2019_members_this_year,f2019_sunday_attendance,f2019_plate_and_pledge,f2020_members_this_year,f2020_sunday_attendance,f2020_plate_and_pledge,f2021_members_this_year,f2021_sunday_attendance,f2021_plate_and_pledge,f2022_members_this_year,f2022_sunday_attendance,f2022_plate_and_pledge,f2023_members_this_year,f2023_sunday_attendance,f2023_plate_and_pledge,attendance_pctinc,member_pctinc,platepledge_pctinc,attendance_avg,member_avg,platepledge_avg,dio_reg
11,Trinity Church (Fredericksburg),Trinity Church,Trinity,825 College Ave,,Fredericksburg,VA,22401-5469,Fredericksburg City,US,UNITED STATES,PO Box 3400,,Fredericksburg,VA,22402-3400,US,UNITED STATES,540-373-2996,www.trinity-fredericksburg.org,trinity@trinity-fredericksburg.org,54-0902622,9083-5927,736.000000000000000,250.000000000000000,569267.000000000000000,757.000000000000000,232.000000000000000,554535.000000000000000,713.000000000000000,232.000000000000000,549249.000000000000000,650.000000000000000,220.000000000000000,554246.000000000000000,619.000000000000000,203.000000000000000,536653.000000000000000,621.000000000000000,203.000000000000000,500865.000000000000000,547.000000000000000,202.000000000000000,452835.000000000000000,530.000000000000000,92.000000000000000,447101.000000000000000,507.000000000000000,99.000000000000000,489335.000000000000000,427.000000000000000,107.000000000000000,456088.000000000000000,-57.200000000000003,-41.983695650000001,-19.881531859999999,184.000000000000000,610.700000000000045,511017.400000000023283,6
12,Trinity Church (Arlington),Trinity Church,Trinity,2217 Columbia Pike,,Arlington,VA,22204-4497,Arlington,US,UNITED STATES,2217 Columbia Pike,,Arlington,VA,22204-4497,US,UNITED STATES,703-920-7077,www.trinitychurcharlington.org,info@tecarl.org,54-0612462,3781-7715,180.000000000000000,65.000000000000000,168652.000000000000000,184.000000000000000,66.000000000000000,144532.000000000000000,192.000000000000000,67.000000000000000,141270.000000000000000,192.000000000000000,,,222.000000000000000,69.000000000000000,168093.000000000000000,231.000000000000000,67.000000000000000,156660.000000000000000,235.000000000000000,76.000000000000000,163583.000000000000000,231.000000000000000,30.000000000000000,179539.000000000000000,227.000000000000000,70.000000000000000,203899.000000000000000,221.000000000000000,37.000000000000000,202621.000000000000000,-43.076923080000000,22.777777780000001,20.141474750000000,60.777777780000001,211.500000000000000,169872.111111110018101,2
13,The Fork Church (Doswell),The Fork Church,Fork,12566 Old Ridge Rd,,Doswell,VA,23047-1710,Hanover,US,UNITED STATES,12566 Old Ridge Rd,,Doswell,VA,23047-1710,US,UNITED STATES,804-227-3413,orkchurch.com,theforkchurch@gmail.com,54-1111093,6645-2459,158.000000000000000,56.000000000000000,91410.000000000000000,171.000000000000000,54.000000000000000,107156.000000000000000,176.000000000000000,54.000000000000000,105441.000000000000000,173.000000000000000,56.000000000000000,106467.000000000000000,178.000000000000000,55.000000000000000,98845.000000000000000,179.000000000000000,55.000000000000000,111140.000000000000000,169.000000000000000,53.000000000000000,114925.000000000000000,176.000000000000000,32.000000000000000,123411.000000000000000,175.000000000000000,32.000000000000000,136271.000000000000000,172.000000000000000,35.000000000000000,121573.000000000000000,-37.500000000000000,8.860759490000000,32.997483859999996,48.200000000000003,172.699999999999989,111663.899999999994179,11
14,The Falls Church Episcopal (Falls Church),The Falls Church Episcopal,The Falls Church,115 E Fairfax St,,Falls Church,VA,22046-2999,Falls Church City,US,UNITED STATES,115 E Fairfax St,,Falls Church,VA,22046,US,UNITED STATES,703-241-0003,www.thefallschurch.org,jcouncilor@thefallschurch.org,54-0506455,6542-6942,317.000000000000000,225.000000000000000,425208.000000000000000,405.000000000000000,262.000000000000000,463792.000000000000000,562.000000000000000,276.000000000000000,533849.000000000000000,635.000000000000000,330.000000000000000,642178.000000000000000,751.000000000000000,304.000000000000000,656124.000000000000000,803.000000000000000,301.000000000000000,728151.000000000000000,801.000000000000000,354.000000000000000,740875.000000000000000,807.000000000000000,115.000000000000000,693598.000000000000000,819.000000000000000,146.000000000000000,637224.000000000000000,828.000000000000000,174.000000000000000,702996.000000000000000,-22.666666669999998,161.198738170000013,65.329909129999990,248.699999999999989,672.799999999999955,622399.500000000000000,14
15,St Timothys Church (Herndon),St Timothys Church,St Timothys,432 Van Buren St,,Herndon,VA,20170-5199,Fairfax,US,UNITED STATES,432 Van Buren St,,Herndon,VA,20170-5199,US,UNITED STATES,703-437-3790,www.saint-timothys.org,office@saint-timothys.org,54-0648700,2496-4785,1380.000000000000000,278.000000000000000,699473.000000000000000,1401.000000000000000,245.000000000000000,656269.000000000000000,1422.000000000000000,217.000000000000000,623677.000000000000000,1424.000000000000000,214.000000000000000,641435.000000000000000,1442.000000000000000,200.000000000000000,622567.000000000000000,628.000000000000000,193.000000000000000,593446.000000000000000,630.000000000000000,183.000000000000000,567904.000000000000000,619.000000000000000,73.000000000000000,515884.000000000000000,356.000000000000000,95.000000000000000,511478.000000000000000,396.000000000000000,122.000000000000000,531321.000000000000000,-56.115107909999999,-71.304347829999998,-24.039812829999999,182.000000000000000,969.799999999999955,596345.400000000023283,10
16,St Thomas Episcopal Church (Orange),St Thomas Episcopal Church,St Thomas,119 Caroline St,,Orange,VA,22960-1532,Orange,US,UNITED STATES,119 Caroline St,,Orange,VA,22960-1532,US,UNITED STATES,540-672-3761,www.stthomasorange.org,stthomas3@verizon.net,54-0608307,2772-1653,185.000000000000000,86.000000000000000,188715.000000000000000,154.000000000000000,89.000000000000000,186972.000000000000000,174.000000000000000,106.000000000000000,198459.000000000000000,171.000000000000000,81.000000000000000,188158.000000000000000,160.000000000000000,70.000000000000000,201574.000000000000000,148.000000000000000,75.000000000000000,187895.000000000000000,146.000000000000000,68.000000000000000,169666.000000000000000,127.000000000000000,32.000000000000000,159851.000000000000000,107.000000000000000,46.000000000000000,179001.000000000000000,110.000000000000000,51.000000000000000,176438.000000000000000,-40.697674419999998,-40.540540540000002,-6.505577189999999,70.400000000000006,148.199999999999989,183672.899999999994179,4
17,St Thomas Church (Richmond),St Thomas Church,St Thomas,3602 Hawthorne Ave,,Richmond,VA,23222-1824,Richmond City,US,UNITED STATES,3602 Hawthorne Ave,,Richmond,VA,23222-1824,US,UNITED STATES,804-321-9548,www.stthomasrichmond.org,office@stthomasrichmond.org,54-0600404,8442-4852,668.000000000000000,147.000000000000000,360958.000000000000000,668.000000000000000,,,668.000000000000000,,,668.000000000000000,,,357.000000000000000,101.000000000000000,311587.000000000000000,358.000000000000000,92.000000000000000,296044.000000000000000,359.000000000000000,88.000000000000000,318293.000000000000000,363.000000000000000,52.000000000000000,320509.000000000000000,291.000000000000000,63.000000000000000,310021.000000000000000,290.000000000000000,77.000000000000000,333719.000000000000000,-47.619047619999996,-56.586826349999996,-7.546307330000000,88.571428569999995,469.000000000000000,321590.142857139988337,3
18,St Thomas Church (McLean),St Thomas Church,St Thomas,8991 Brook Rd,,McLean,VA,22102-1599,Fairfax,US,UNITED STATES,8991 Brook Rd,,McLean,VA,22102-1599,US,UNITED STATES,703-442-0330,www.stthomasmcleanva.org,info@stthomasmclean.org,54-6041756,1865-6413,397.000000000000000,118.000000000000000,413292.000000000000000,402.000000000000000,121.000000000000000,423043.000000000000000,346.000000000000000,100.000000000000000,421996.000000000000000,346.000000000000000,97.000000000000000,350688.000000000000000,345.000000000000000,89.000000000000000,380848.000000000000000,352.000000000000000,89.000000000000000,429302.000000000000000,347.000000000000000,99.000000000000000,430233.000000000000000,350.000000000000000,33.000000000000000,457125.000000000000000,361.000000000000000,45.000000000000000,412470.000000000000000,353.000000000000000,45.000000000000000,455305.000000000000000,-61.864406780000003,-11.083123430000001,10.165452030000001,83.599999999999994,359.899999999999977,417430.200000000011642,10
19,St Stephens Episcopal Church (Culpeper),St Stephens Episcopal Church,St Stephens,115 N East St,,Culpeper,VA,22701-3021,Culpeper,US,UNITED STATES,115 N East St,,Culpeper,VA,22701-3021,US,UNITED STATES,540-825-8786,www.ststephensculpeper.net,ssec@ststephensculpeper.net,54-054-2602,4704-6750,288.000000000000000,118.000000000000000,213467.000000000000000,312.000000000000000,129.000000000000000,233692.000000000000000,333.000000000000000,125.000000000000000,262457.000000000000000,338.000000000000000,131.000000000000000,300484.000000000000000,350.000000000000000,125.000000000000000,385718.000000000000000,363.000000000000000,128.000000000000000,293367.000000000000000,357.000000000000000,114.000000000000000,257695.000000000000000,368.000000000000000,81.000000000000000,245122.000000000000000,341.000000000000000,98.000000000000000,242861.000000000000000,269.000000000000000,94.000000000000000,268311.000000000000000,-20.338983050000000,-6.597222220000000,25.692027339999999,114.299999999999997,331.899999999999977,270317.400000000023283,5
20,St Stephens Church (Richmond),St Stephens Church,St Stephens,6000 Grove Ave,,Richmond,VA,23226-2601,Richmond City,US,UNITED STATES,6000 Grove Ave,,Richmond,VA,23226-2601,US,UNITED STATES,804-288-2867,www.ststephensrva.org,jallen@ststephensrva.org,54-0506339,8922-6542,4287.000000000000000,1213.000000000000000,2639272.000000000000000,4337.000000000000000,1057.000000000000000,2605129.000000000000000,4448.000000000000000,1216.000000000000000,2744682.000000000000000,4555.000000000000000,1173.000000000000000,2889905.000000000000000,4650.000000000000000,1126.000000000000000,2916687.000000000000000,4769.000000000000000,1115.000000000000000,2712355.000000000000000,4799.000000000000000,1027.000000000000000,3030177.000000000000000,4799.000000000000000,0.000000000000000,2969402.000000000000000,4898.000000000000000,608.000000000000000,2838269.000000000000000,4918.000000000000000,728.000000000000000,2953066.000000000000000,-39.983511950000000,14.718917659999999,11.889414960000000,1029.222222219999821,4646.000000000000000,2829894.399999999906868,3
21,St Stephens Church (Heathsville),St Stephens Church,St Stephens,6807 Northumberland Hwy,,Heathsville,VA,22473,Northumberland,US,UNITED STATES,PO Box 40,,Heathsville,VA,22473-0040,US,UNITED STATES,804-724-4238,ststephensheathsville.org,lucia@ststephensheathsville.org,20-8198558,5302-7744,69.000000000000000,45.000000000000000,84322.000000000000000,70.000000000000000,44.000000000000000,86192.000000000000000,75.000000000000000,43.000000000000000,109860.000000000000000,63.000000000000000,39.000000000000000,118640.000000000000000,61.000000000000000,40.000000000000000,126531.000000000000000,65.000000000000000,35.000000000000000,110049.000000000000000,64.000000000000000,40.000000000000000,107612.000000000000000,41.000000000000000,33.000000000000000,124969.000000000000000,46.000000000000000,34.000000000000000,114168.000000000000000,51.000000000000000,42.000000000000000,143118.000000000000000,-6.666666670000000,-26.086956520000001,69.727947630000003,39.500000000000000,60.500000000000000,112546.100000000005821,12
22,St Stephens Church (Catlett),St Stephens Church,St Stephens,8695 Old Dumfries Rd,,Catlett,VA,20119-1922,Fauquier,US,UNITED STATES,8695 Old Dumfries Rd,,Catlett,VA,20119-1922,US,UNITED STATES,540-788-4252,www.ststephenscatlett.org,ststephencatlett@yahoo.com,54-1253665,4193-6329,183.000000000000000,46.000000000000000,142223.000000000000000,180.000000000000000,37.000000000000000,117735.000000000000000,159.000000000000000,39.000000000000000,109058.000000000000000,150.000000000000000,43.000000000000000,102739.000000000000000,153.000000000000000,37.000000000000000,82574.000000000000000,157.000000000000000,36.000000000000000,86386.000000000000000,156.000000000000000,38.000000000000000,97340.000000000000000,149.000000000000000,23.000000000000000,111343.000000000000000,83.000000000000000,18.000000000000000,123967.000000000000000,87.000000000000000,23.000000000000000,101136.000000000000000,-50.000000000000000,-52.459016390000002,-28.889138889999998,34.000000000000000,145.699999999999989,107450.100000000005821,5
23,St Stephen & the Good Shepherd (Elkton),St Stephen & the Good Shepherd,St Stephen & the Good Shepherd,7078 Rocky Bar Rd,,Elkton,VA,22827,Rockingham,US,UNITED STATES,7120 Ore Bank Rd,,Port Republic,VA,24471-2206,US,UNITED STATES,540-249-4121,,,23-7452989,5645-7310,36.000000000000000,,,36.000000000000000,,,36.000000000000000,,,36.000000000000000,,,40.000000000000000,31.000000000000000,39974.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,28.000000000000000,19.000000000000000,36659.000000000000000,28.000000000000000,0.000000000000000,0.000000000000000,28.000000000000000,0.000000000000000,0.000000000000000,-38.709677419999998,-22.222222220000003,-8.292890379999999,25.000000000000000,34.799999999999997,38316.500000000000000,7
24,St Philips Church (Richmond),St Philips Church,St Philips,2900 Hanes Ave,,Richmond,VA,23222-3607,Richmond City,US,UNITED STATES,2900 Hanes Ave,,Richmond,VA,23222-3607,US,UNITED STATES,804-321-1266,www.stphilipsrva.org,stphilipsrichmond@comcast.net,54-0539301,4482-7673,289.000000000000000,133.000000000000000,297112.000000000000000,298.000000000000000,133.000000000000000,315000.000000000000000,300.000000000000000,140.000000000000000,315000.000000000000000,297.000000000000000,140.000000000000000,327000.000000000000000,314.000000000000000,137.000000000000000,345000.000000000000000,311.000000000000000,116.000000000000000,333000.000000000000000,301.000000000000000,120.000000000000000,333256.000000000000000,299.000000000000000,35.000000000000000,296230.000000000000000,301.000000000000000,72.000000000000000,311242.000000000000000,298.000000000000000,67.000000000000000,341075.000000000000000,-49.624060150000005,3.114186850000000,14.796776970000000,109.299999999999997,300.800000000000011,321391.500000000000000,3
25,St Peters Parish Church (New Kent),St Peters Parish Church,St Peters,8400 St Peters Ln,,New Kent,VA,23124-2718,New Kent,US,UNITED STATES,8400 St Peters Ln,,New Kent,VA,23124-2718,US,UNITED STATES,804-932-4846,stpetersnewkent.org,stpeters.admin1@gmail.com,54-0805630,3239-7432,350.000000000000000,93.000000000000000,232798.000000000000000,370.000000000000000,100.000000000000000,245105.000000000000000,383.000000000000000,98.000000000000000,256922.000000000000000,330.000000000000000,92.000000000000000,242498.000000000000000,328.000000000000000,96.000000000000000,227187.000000000000000,329.000000000000000,99.000000000000000,258125.000000000000000,298.000000000000000,81.000000000000000,237384.000000000000000,293.000000000000000,47.000000000000000,200889.000000000000000,297.000000000000000,60.000000000000000,193838.000000000000000,284.000000000000000,67.000000000000000,269345.000000000000000,-27.956989249999999,-18.857142860000000,15.699018030000000,83.299999999999997,326.199999999999989,236409.100000000005821,9
26,St Peters in the Woods (Fairfax Station),St Peters in the Woods,St Peters,5911 Fairview Woods Dr,,Fairfax Station,VA,22039-1427,Fairfax,US,UNITED STATES,5911 Fairview Woods Dr,,Fairfax Station,VA,22039-1427,US,UNITED STATES,703-503-9210,www.stpetersinthewoods.org,spiwmain@vacoxmail.com,54-1514711,4811-1785,425.000000000000000,187.000000000000000,412115.000000000000000,428.000000000000000,181.000000000000000,396113.000000000000000,375.000000000000000,161.000000000000000,424130.000000000000000,350.000000000000000,151.000000000000000,432891.000000000000000,340.000000000000000,151.000000000000000,482317.000000000000000,320.000000000000000,133.000000000000000,550713.000000000000000,317.000000000000000,151.000000000000000,454788.000000000000000,280.000000000000000,75.000000000000000,481517.000000000000000,259.000000000000000,76.000000000000000,576839.000000000000000,262.000000000000000,61.000000000000000,476822.000000000000000,-67.379679139999993,-38.352941179999995,15.701199910000000,132.699999999999989,335.600000000000023,468824.500000000000000,14
27,St Peters Episcopal Church (Richmond),St Peters Episcopal Church,St Peters,1719 N 22nd St,,Richmond,VA,23223-4431,Richmond City,US,UNITED STATES,1719 N 22nd St,,Richmond,VA,23223-4431,US,UNITED STATES,8046432686,stpeterschurchill.org,stpeterschurchill@gmail.com,54-1111373,7066-4941,26.000000000000000,26.000000000000000,41687.000000000000000,55.000000000000000,34.000000000000000,51178.000000000000000,84.000000000000000,48.000000000000000,48147.000000000000000,90.000000000000000,38.000000000000000,57402.000000000000000,90.000000000000000,46.000000000000000,103545.000000000000000,93.000000000000000,53.000000000000000,93885.000000000000000,87.000000000000000,49.000000000000000,102279.000000000000000,78.000000000000000,33.000000000000000,89292.000000000000000,80.000000000000000,32.000000000000000,102596.000000000000000,65.000000000000000,30.000000000000000,117075.000000000000000,15.384615380000001,150.000000000000000,180.842948639999975,38.899999999999999,74.799999999999997,80708.600000000005821,3
28,St Peters Episcopal Church (Arlington),St Peters Episcopal Church,St Peters,4250 N Glebe Rd,,Arlington,VA,22207-4500,Arlington,US,UNITED STATES,4250 N Glebe Rd,,Arlington,VA,22207-4500,US,UNITED STATES,703-536-6606,www.saint-peters.org/,info@saint-peters.org,54-0699716,9099-4823,1086.000000000000000,213.000000000000000,801277.000000000000000,1101.000000000000000,204.000000000000000,783053.000000000000000,1107.000000000000000,207.000000000000000,808820.000000000000000,1099.000000000000000,190.000000000000000,742486.000000000000000,1095.000000000000000,174.000000000000000,760595.000000000000000,1082.000000000000000,167.000000000000000,815404.000000000000000,1076.000000000000000,171.000000000000000,778238.000000000000000,1069.000000000000000,150.000000000000000,678855.000000000000000,1063.000000000000000,127.000000000000000,870039.000000000000000,1060.000000000000000,150.000000000000000,933931.000000000000000,-29.577464790000001,-2.394106810000000,16.555323559999998,175.300000000000011,1083.799999999999955,797269.800000000046566,2
29,St Peters Church (Purcellville),St Peters Church,St Peters,37018 Glendale St,,Purcellville,VA,20132-3422,Loudoun,US,UNITED STATES,PO Box 546,,Purcellville,VA,20134-0546,US,UNITED STATES,540-338-7307,www.stpetes.net/,office@stpetes.net,54-0969134,1830-9443,303.000000000000000,189.000000000000000,454917.000000000000000,288.000000000000000,192.000000000000000,416539.000000000000000,288.000000000000000,,,258.000000000000000,170.000000000000000,461527.000000000000000,252.000000000000000,170.000000000000000,559118.000000000000000,263.000000000000000,154.000000000000000,478800.000000000000000,257.000000000000000,161.000000000000000,450377.000000000000000,186.000000000000000,70.000000000000000,433829.000000000000000,166.000000000000000,86.000000000000000,460566.000000000000000,166.000000000000000,0.000000000000000,0.000000000000000,-54.497354500000000,-45.214521449999999,1.241764980000000,149.000000000000000,242.699999999999989,464459.125000000000000,8
